audit_id,item_type,case_id,action_index,predicted_family,route,action,rationale,approval_required,retrieval_query,evidence_refs,deterministic_eligible,sources,checker_a_label,checker_a_reason,checker_b_label,checker_b_reason,strict_decision,strict_reason,review_queue_decision,review_queue_reason
EG-O-0011,original,ieee-access-0006,1,Benign,monitor,NO_ACTION,The detector classified the observation as benign.,False,normal activity continuous monitoring avoid unnecessary disruption cybersecurity state logging avoid unnecessary disruption continue observation IoT predicted family Benign proposed action NO_ACTION observed protocols TCP HTTP observed indicators traffic packet rate volume frequency average packet size traffic profile inter arrival time traffic timing TCP ACK responses TCP ACK flag responses,"['NIST.SP.800-61r3-0055', 'NIST.SP.800-213A-0053', 'NIST.IR.8259A-0022']",True,NIST.SP.800-61r3.pdf; NIST.SP.800-213A.pdf; NIST.IR.8259A.pdf,unsupported,"The evidence supports monitoring/reporting capabilities, not a no-action decision.",unsupported,"The evidence supports monitoring and state awareness, not taking no action because an observation was classified benign. Nothing explicitly or generally justifies abstaining from action.",remove,The independent checker found no useful support for the action.,remove,The independent checker found no useful support for the action.
EG-O-0012,original,ieee-access-0006,2,Benign,monitor,MONITOR,Continue non-disruptive observation.,False,normal activity continuous monitoring avoid unnecessary disruption cybersecurity state logging continuous monitoring detect anomalous behavior security events IoT predicted family Benign proposed action MONITOR observed protocols TCP HTTP observed indicators traffic packet rate volume frequency average packet size traffic profile inter arrival time traffic timing TCP ACK responses TCP ACK flag responses,"['NIST.SP.800-61r3-0055', 'NIST.SP.800-213A-0053', 'NIST.SP.800-213A-0054']",True,NIST.SP.800-61r3.pdf; NIST.SP.800-213A.pdf; NIST.SP.800-213A.pdf,directly_supported,"The excerpts explicitly support continuous monitoring and proactive assessment, which aligns with continuing non-disruptive observation.",directly_supported,"The excerpts explicitly support continuous monitoring and event identification/monitoring capabilities, which directly matches the action to continue non-disruptive observation.",keep,The action has direct documentary support.,keep,The action has direct documentary support.
EG-O-0013,original,ieee-access-0007,1,Benign,monitor,NO_ACTION,The detector classified the observation as benign.,False,normal activity continuous monitoring avoid unnecessary disruption cybersecurity state logging avoid unnecessary disruption continue observation IoT predicted family Benign proposed action NO_ACTION observed protocols TCP HTTPS observed indicators traffic packet rate volume frequency average packet size traffic profile inter arrival time traffic timing TCP ACK responses TCP ACK flag responses,"['NIST.SP.800-61r3-0055', 'NIST.IR.8259A-0022', 'NIST.SP.800-213A-0053']",True,NIST.SP.800-61r3.pdf; NIST.IR.8259A.pdf; NIST.SP.800-213A.pdf,unsupported,"The cited material supports monitoring and state awareness, but not a no-action decision.",unsupported,"The evidence supports monitoring and state awareness, not taking no action because an observation was classified benign. Nothing explicitly or generally justifies abstaining from action.",remove,The independent checker found no useful support for the action.,remove,The independent checker found no useful support for the action.
EG-O-0014,original,ieee-access-0007,2,Benign,monitor,MONITOR,Continue non-disruptive observation.,False,normal activity continuous monitoring avoid unnecessary disruption cybersecurity state logging continuous monitoring detect anomalous behavior security events IoT predicted family Benign proposed action MONITOR observed protocols TCP HTTPS observed indicators traffic packet rate volume frequency average packet size traffic profile inter arrival time traffic timing TCP ACK responses TCP ACK flag responses,"['NIST.SP.800-61r3-0055', 'NIST.SP.800-213A-0053', 'NIST.SP.800-213A-0054']",True,NIST.SP.800-61r3.pdf; NIST.SP.800-213A.pdf; NIST.SP.800-213A.pdf,directly_supported,"The excerpts explicitly describe continuous monitoring and identifying cybersecurity events, supporting a monitor action.",directly_supported,"The excerpts explicitly support continuous monitoring and event identification/monitoring capabilities, which directly matches the action to continue non-disruptive observation.",keep,The action has direct documentary support.,keep,The action has direct documentary support.
EG-O-0015,original,ieee-access-0008,1,Benign,monitor,NO_ACTION,The detector classified the observation as benign.,False,normal activity continuous monitoring avoid unnecessary disruption cybersecurity state logging avoid unnecessary disruption continue observation IoT predicted family Benign proposed action NO_ACTION observed protocols TCP UDP HTTPS observed indicators traffic packet rate volume frequency average packet size traffic profile inter arrival time traffic timing TCP ACK responses TCP ACK flag responses,"['NIST.SP.800-61r3-0055', 'NIST.IR.8259A-0022', 'NIST.SP.800-213A-0053']",True,NIST.SP.800-61r3.pdf; NIST.IR.8259A.pdf; NIST.SP.800-213A.pdf,unsupported,"The evidence supports monitoring and state awareness, but not a no-action decision.",unsupported,"The evidence supports monitoring and state awareness, not taking no action because an observation was classified benign. Nothing explicitly or generally justifies abstaining from action.",remove,The independent checker found no useful support for the action.,remove,The independent checker found no useful support for the action.
EG-O-0016,original,ieee-access-0008,2,Benign,monitor,MONITOR,Continue non-disruptive observation.,False,normal activity continuous monitoring avoid unnecessary disruption cybersecurity state logging continuous monitoring detect anomalous behavior security events IoT predicted family Benign proposed action MONITOR observed protocols TCP UDP HTTPS observed indicators traffic packet rate volume frequency average packet size traffic profile inter arrival time traffic timing TCP ACK responses TCP ACK flag responses,"['NIST.SP.800-61r3-0055', 'NIST.SP.800-213A-0053', 'NIST.SP.800-213A-0054']",True,NIST.SP.800-61r3.pdf; NIST.SP.800-213A.pdf; NIST.SP.800-213A.pdf,directly_supported,"The excerpts explicitly support continuous monitoring and event identification, matching the monitor action.",directly_supported,"The excerpts explicitly support continuous monitoring and event identification/monitoring capabilities, which directly matches the action to continue non-disruptive observation.",keep,The action has direct documentary support.,keep,The action has direct documentary support.
EG-O-0017,original,ieee-access-0009,1,Benign,monitor,NO_ACTION,The detector classified the observation as benign.,False,normal activity continuous monitoring avoid unnecessary disruption cybersecurity state logging avoid unnecessary disruption continue observation IoT predicted family Benign proposed action NO_ACTION observed protocols TCP UDP HTTPS observed indicators traffic packet rate volume frequency average packet size traffic profile inter arrival time traffic timing TCP ACK responses TCP ACK flag responses,"['NIST.SP.800-61r3-0055', 'NIST.IR.8259A-0022', 'NIST.SP.800-213A-0053']",True,NIST.SP.800-61r3.pdf; NIST.IR.8259A.pdf; NIST.SP.800-213A.pdf,unsupported,"The excerpts support monitoring and reporting capabilities, not a no-action decision.",unsupported,"The evidence supports monitoring and state awareness, not taking no action because an observation was classified benign. Nothing explicitly or generally justifies abstaining from action.",remove,The independent checker found no useful support for the action.,remove,The independent checker found no useful support for the action.
EG-O-0018,original,ieee-access-0009,2,Benign,monitor,MONITOR,Continue non-disruptive observation.,False,normal activity continuous monitoring avoid unnecessary disruption cybersecurity state logging continuous monitoring detect anomalous behavior security events IoT predicted family Benign proposed action MONITOR observed protocols TCP UDP HTTPS observed indicators traffic packet rate volume frequency average packet size traffic profile inter arrival time traffic timing TCP ACK responses TCP ACK flag responses,"['NIST.SP.800-61r3-0055', 'NIST.SP.800-213A-0053', 'NIST.SP.800-213A-0054']",True,NIST.SP.800-61r3.pdf; NIST.SP.800-213A.pdf; NIST.SP.800-213A.pdf,directly_supported,"The excerpts explicitly support continuous monitoring and proactive assessment, matching the monitor action.",directly_supported,"The excerpts explicitly support continuous monitoring and event identification/monitoring capabilities, which directly matches the action to continue non-disruptive observation.",keep,The action has direct documentary support.,keep,The action has direct documentary support.
EG-O-0019,original,ieee-access-0010,1,Benign,monitor,NO_ACTION,The detector classified the observation as benign.,False,normal activity continuous monitoring avoid unnecessary disruption cybersecurity state logging avoid unnecessary disruption continue observation IoT predicted family Benign proposed action NO_ACTION observed protocols TCP HTTPS observed indicators traffic packet rate volume frequency average packet size traffic profile inter arrival time traffic timing TCP ACK responses TCP ACK flag responses,"['NIST.SP.800-61r3-0055', 'NIST.IR.8259A-0022', 'NIST.SP.800-213A-0053']",True,NIST.SP.800-61r3.pdf; NIST.IR.8259A.pdf; NIST.SP.800-213A.pdf,unsupported,"The cited material supports monitoring and state awareness, but not a no-action decision.",unsupported,"The evidence supports monitoring and state awareness, not taking no action because an observation was classified benign. Nothing explicitly or generally justifies abstaining from action.",remove,The independent checker found no useful support for the action.,remove,The independent checker found no useful support for the action.
EG-O-0020,original,ieee-access-0010,2,Benign,monitor,MONITOR,Continue non-disruptive observation.,False,normal activity continuous monitoring avoid unnecessary disruption cybersecurity state logging continuous monitoring detect anomalous behavior security events IoT predicted family Benign proposed action MONITOR observed protocols TCP HTTPS observed indicators traffic packet rate volume frequency average packet size traffic profile inter arrival time traffic timing TCP ACK responses TCP ACK flag responses,"['NIST.SP.800-61r3-0055', 'NIST.SP.800-213A-0053', 'NIST.SP.800-213A-0054']",True,NIST.SP.800-61r3.pdf; NIST.SP.800-213A.pdf; NIST.SP.800-213A.pdf,directly_supported,"The excerpts explicitly support continuous monitoring and identifying cybersecurity events, which matches the monitor action.",directly_supported,"The excerpts explicitly support continuous monitoring and event identification/monitoring capabilities, which directly matches the action to continue non-disruptive observation.",keep,The action has direct documentary support.,keep,The action has direct documentary support.
EG-O-0021,original,ieee-access-0011,1,Web,escalate,CAPTURE_TRAFFIC,Collect additional evidence before a disruptive decision.,False,SQL injection invalid data input application layer user interface prevent system manipulation collect network traffic evidence incident analysis monitoring IoT predicted family Web proposed action CAPTURE_TRAFFIC observed protocols TCP UDP HTTP HTTPS DNS observed indicators traffic packet rate volume frequency average packet size traffic profile inter arrival time traffic timing TCP SYN connection attempts TCP SYN flag connection attempts,"['ETSI.EN.303.645.V3.1.3-0078', 'RFC8520-0031', 'ETSI.EN.303.645.V3.1.3-0079']",True,ETSI.EN.303.645.V3.1.3.pdf; RFC8520.txt; ETSI.EN.303.645.V3.1.3.pdf,unsupported,"The excerpts support validating unexpected input and, in one place, capturing the event as telemetry, but they do not justify the separate action of capturing traffic. No evidence says to capture traffic before a disruptive decision.",unsupported,"The excerpts discuss validating application/network input, dropping unsolicited TCP traffic, and capturing telemetry for invalid input events, but do not support the action of capturing network traffic as additional evidence before a decision.",remove,The independent checker found no useful support for the action.,remove,The independent checker found no useful support for the action.
EG-O-0022,original,ieee-access-0011,2,Web,escalate,NOTIFY_OPERATOR,Detector confidence is below the validated threshold.,False,SQL injection invalid data input application layer user interface prevent system manipulation incident notification response escalation operator IoT predicted family Web proposed action NOTIFY_OPERATOR observed protocols TCP UDP HTTP HTTPS DNS observed indicators traffic packet rate volume frequency average packet size traffic profile inter arrival time traffic timing TCP SYN connection attempts TCP SYN flag connection attempts,"['ETSI.EN.303.645.V3.1.3-0078', 'RFC8520-0031', 'ETSI.EN.303.645.V3.1.3-0079']",True,ETSI.EN.303.645.V3.1.3.pdf; RFC8520.txt; ETSI.EN.303.645.V3.1.3.pdf,unsupported,"The cited excerpts discuss input validation and incident reporting/status tracking, but not notifying an operator because detector confidence is below a threshold.",unsupported,"None of the excerpts support notifying an operator based on low detector confidence. They cover input validation and TCP direction filtering, not operator notification or human review.",remove,The independent checker found no useful support for the action.,remove,The independent checker found no useful support for the action.
EG-O-0023,original,ieee-access-0012,1,Web,escalate,CAPTURE_TRAFFIC,Collect additional evidence before a disruptive decision.,False,SQL injection invalid data input application layer user interface prevent system manipulation collect network traffic evidence incident analysis monitoring IoT predicted family Web proposed action CAPTURE_TRAFFIC observed protocols TCP UDP HTTP HTTPS DNS observed indicators traffic packet rate volume frequency average packet size traffic profile inter arrival time traffic timing TCP SYN connection attempts TCP SYN flag connection attempts,"['ETSI.EN.303.645.V3.1.3-0078', 'RFC8520-0031', 'ETSI.EN.303.645.V3.1.3-0079']",True,ETSI.EN.303.645.V3.1.3.pdf; RFC8520.txt; ETSI.EN.303.645.V3.1.3.pdf,unsupported,"The evidence supports validating input and, at most, capturing telemetry for out-of-range data. It does not support capturing network traffic as an evidence-gathering step.",unsupported,"The cited text supports input validation and mentions capturing an invalid-input event as telemetry, but not packet/traffic capture as an investigative action.",remove,The independent checker found no useful support for the action.,remove,The independent checker found no useful support for the action.
EG-O-0024,original,ieee-access-0012,2,Web,escalate,NOTIFY_OPERATOR,Detector confidence is below the validated threshold.,False,SQL injection invalid data input application layer user interface prevent system manipulation incident notification response escalation operator IoT predicted family Web proposed action NOTIFY_OPERATOR observed protocols TCP UDP HTTP HTTPS DNS observed indicators traffic packet rate volume frequency average packet size traffic profile inter arrival time traffic timing TCP SYN connection attempts TCP SYN flag connection attempts,"['ETSI.EN.303.645.V3.1.3-0078', 'RFC8520-0031', 'ETSI.EN.303.645.V3.1.3-0079']",True,ETSI.EN.303.645.V3.1.3.pdf; RFC8520.txt; ETSI.EN.303.645.V3.1.3.pdf,unsupported,"The excerpts mention incident response status tracking and reporting incidents, but not the specific action of notifying an operator due to low detector confidence.",unsupported,"The evidence does not justify notifying an operator; it is about validating input and preventing manipulation, not escalation to a human due to confidence thresholds.",remove,The independent checker found no useful support for the action.,remove,The independent checker found no useful support for the action.
EG-O-0025,original,ieee-access-0013,1,Web,escalate,CAPTURE_TRAFFIC,Collect additional evidence before a disruptive decision.,False,SQL injection invalid data input application layer user interface prevent system manipulation collect network traffic evidence incident analysis monitoring IoT predicted family Web proposed action CAPTURE_TRAFFIC observed protocols TCP UDP HTTPS DNS observed indicators traffic packet rate volume frequency average packet size traffic profile inter arrival time traffic timing TCP SYN connection attempts TCP SYN flag connection attempts,"['ETSI.EN.303.645.V3.1.3-0078', 'RFC8520-0031', 'ETSI.EN.303.645.V3.1.3-0079']",True,ETSI.EN.303.645.V3.1.3.pdf; RFC8520.txt; ETSI.EN.303.645.V3.1.3.pdf,generally_supported,"The excerpts support collecting evidence/telemetry from malformed or out-of-range input, which aligns with preserving evidence, but they do not explicitly endorse traffic capture as the mechanism.",unsupported,Capturing an event as telemetry for out-of-range data is not the same as capturing traffic. The excerpts do not support packet capture for evidence collection.,keep,General support is sufficient for this non-disruptive action.,keep,General support is sufficient for this non-disruptive action.
EG-O-0026,original,ieee-access-0013,2,Web,escalate,NOTIFY_OPERATOR,Detector confidence is below the validated threshold.,False,SQL injection invalid data input application layer user interface prevent system manipulation incident notification response escalation operator IoT predicted family Web proposed action NOTIFY_OPERATOR observed protocols TCP UDP HTTPS DNS observed indicators traffic packet rate volume frequency average packet size traffic profile inter arrival time traffic timing TCP SYN connection attempts TCP SYN flag connection attempts,"['ETSI.EN.303.645.V3.1.3-0078', 'RFC8520-0031', 'ETSI.EN.303.645.V3.1.3-0079']",True,ETSI.EN.303.645.V3.1.3.pdf; RFC8520.txt; ETSI.EN.303.645.V3.1.3.pdf,unsupported,"The cited material discusses input validation and incident tracking/reporting, not operator notification based on confidence thresholds.",unsupported,"No excerpt mentions operator notification, reporting, or review. The evidence is unrelated to the specific action.",remove,The independent checker found no useful support for the action.,remove,The independent checker found no useful support for the action.
EG-O-0027,original,ieee-access-0014,1,Spoofing,escalate,CAPTURE_TRAFFIC,Collect additional evidence before a disruptive decision.,False,spoofing impersonation authentication network access control identity collect network traffic evidence incident analysis monitoring IoT predicted family Spoofing proposed action CAPTURE_TRAFFIC observed protocols TCP HTTPS observed indicators traffic packet rate volume frequency average packet size traffic profile inter arrival time traffic timing TCP ACK responses TCP ACK flag responses,"['NIST.SP.800-61r3-0067', 'RFC8576-0026', 'RFC8576-0067']",True,NIST.SP.800-61r3.pdf; RFC8576.txt; RFC8576.txt,generally_supported,"The NIST excerpt supports collecting and retaining incident evidence, but it does not explicitly support packet/traffic capture as the specific action.",generally_supported,"NIST SP 800-61r3 explicitly supports collecting and retaining incident evidence, which generally supports gathering more evidence. However, the excerpts do not specifically support packet/traffic capture as the concrete mechanism.",keep,General support is sufficient for this non-disruptive action.,keep,General support is sufficient for this non-disruptive action.
EG-O-0028,original,ieee-access-0014,2,Spoofing,escalate,NOTIFY_OPERATOR,Detector confidence is below the validated threshold.,False,spoofing impersonation authentication network access control identity incident notification response escalation operator IoT predicted family Spoofing proposed action NOTIFY_OPERATOR observed protocols TCP HTTPS observed indicators traffic packet rate volume frequency average packet size traffic profile inter arrival time traffic timing TCP ACK responses TCP ACK flag responses,"['NIST.SP.800-61r3-0062', 'NIST.SP.800-61r3-0068', 'NIST.SP.800-213A-0065']",True,NIST.SP.800-61r3.pdf; NIST.SP.800-61r3.pdf; NIST.SP.800-213A.pdf,generally_supported,"The excerpts support incident notification/reporting and coordination, which is adjacent to notifying an operator, but they do not explicitly justify the below-threshold confidence rationale.",generally_supported,"The NIST incident response excerpts support incident reporting/communication and automatic reporting of confirmed incidents, which generally supports notifying an operator. They do not specifically justify operator notification because detector confidence is below threshold.",keep,General support is sufficient for this non-disruptive action.,keep,General support is sufficient for this non-disruptive action.
EG-O-0029,original,ieee-access-0015,1,Recon,escalate,CAPTURE_TRAFFIC,Collect additional evidence before a disruptive decision.,False,reconnaissance scanning probing unauthorized activity continuous monitoring logging collect network traffic evidence incident analysis monitoring IoT predicted family Recon proposed action CAPTURE_TRAFFIC observed protocols TCP HTTP HTTPS observed indicators traffic packet rate volume frequency average packet size traffic profile inter arrival time traffic timing TCP ACK responses TCP ACK flag responses,"['NIST.SP.800-61r3-0055', 'NIST.SP.800-61r3-0067', 'RFC8576-0067']",True,NIST.SP.800-61r3.pdf; NIST.SP.800-61r3.pdf; RFC8576.txt,generally_supported,"The excerpts support continuous monitoring and preserving incident evidence, which aligns with collecting evidence, but they do not explicitly justify packet capture for this specific recon case.",generally_supported,"The excerpts support continuous monitoring and collecting/retaining incident evidence, which aligns with gathering more evidence, but they do not explicitly support packet/traffic capture as the concrete mechanism.",keep,General support is sufficient for this non-disruptive action.,keep,General support is sufficient for this non-disruptive action.
EG-O-0030,original,ieee-access-0015,2,Recon,escalate,NOTIFY_OPERATOR,Detector confidence is below the validated threshold.,False,reconnaissance scanning probing unauthorized activity continuous monitoring logging incident notification response escalation operator IoT predicted family Recon proposed action NOTIFY_OPERATOR observed protocols TCP HTTP HTTPS observed indicators traffic packet rate volume frequency average packet size traffic profile inter arrival time traffic timing TCP ACK responses TCP ACK flag responses,"['NIST.SP.800-61r3-0055', 'NIST.SP.800-61r3-0068', 'NIST.SP.800-61r3-0062']",True,NIST.SP.800-61r3.pdf; NIST.SP.800-61r3.pdf; NIST.SP.800-61r3.pdf,generally_supported,"The evidence supports monitoring and incident reporting/coordination, but not notifying an operator specifically because confidence is below threshold.",generally_supported,"The cited text supports incident reporting/communication and automatic reporting by detection technologies, which broadly supports notifying an operator, but it does not specifically justify notification based on low detector confidence or this exact decision rule.",keep,General support is sufficient for this non-disruptive action.,keep,General support is sufficient for this non-disruptive action.
