condition,case_id,action_index,predicted_family,action,rationale,audit_id,label,reason
shuffled_rag,iot-v2-011,1,DDoS,INCREASE_LOGGING,Collect additional telemetry to validate whether the elevated rate and SYN activity reflect resource-exhaustion behavior.,AE-039,unsupported,"The excerpts discuss detection of attacks and DoS resistance, but do not justify increasing logging or telemetry collection."
rag,iot-v2-011,1,DDoS,INCREASE_LOGGING,Collect more evidence on session patterns and packet mix because current confidence is low.,AE-040,unsupported,"The excerpts establish DDoS risk and general security needs, but do not support the specific action of increasing logging."
shuffled_rag,iot-v2-026,1,Spoofing,INCREASE_LOGGING,Collect additional telemetry to confirm whether the traffic is spoofed and to support later containment decisions.,AE-041,unsupported,"The cited ETSI excerpts concern validating network/user input, not collecting additional telemetry or supporting logging for spoofing."
shuffled_rag,iot-v2-016,3,DDoS,NOTIFY_OPERATOR,Human review is appropriate because device identity is unvalidated and actions are intent-only.,AE-042,unsupported,"The excerpts mention detection/defense and vulnerability reporting processes, but not notifying an operator for this condition."
rag,iot-v2-011,3,DDoS,NOTIFY_OPERATOR,"Routing decision already indicates escalation, and human review is appropriate given uncertainty and lack of device identity.",AE-043,unsupported,"The excerpts describe DDoS and flooding threats, but do not support operator notification as the recommended action."
shuffled_rag,iot-v2-002,1,Benign,MONITOR,Maintain observation because the detector is confident but the flow profile is limited and device identity is unvalidated.,AE-044,directly_supported,"The cited NIST excerpts explicitly support event identification and monitoring and access to cybersecurity state information, which directly supports continued monitoring."
shuffled_rag,iot-v2-004,1,Spoofing,CAPTURE_TRAFFIC,Preserve evidence for verification of spoofed or impersonated traffic patterns.,AE-045,unsupported,The cited ETSI input-validation excerpts do not support packet capture or preserving traffic evidence.
shuffled_rag,iot-v2-007,2,BruteForce,CAPTURE_TRAFFIC,Preserve packet-level evidence for offline validation of repeated attempts or authentication-related exchanges.,AE-046,unsupported,"The excerpts concern DoS/DDoS and cookie-based state delay, not packet capture or traffic preservation."
shuffled_rag,iot-v2-027,3,Spoofing,NOTIFY_OPERATOR,Human review is warranted because confidence is below threshold and the alert is mitigation intent only.,AE-047,unsupported,"The excerpts are about input validation and system manipulation prevention, not operator notification."
shuffled_rag,iot-v2-032,3,Spoofing,NOTIFY_OPERATOR,High-confidence alert warrants human review because device identity is not validated and action is mitigation intent only.,AE-048,unsupported,The cited ETSI text addresses input validation; it does not justify notifying an operator about spoofing.
rag,iot-v2-022,1,Recon,CAPTURE_TRAFFIC,Preserve packet evidence to validate whether the traffic is scan-like or part of an expected service pattern.,AE-049,generally_supported,"The excerpts support monitoring network assets and anomalous activity, which is consistent with traffic capture for validation, but they do not explicitly mention packet capture or preservation."
shuffled_rag,iot-v2-029,2,Web,CAPTURE_TRAFFIC,"Capture limited traffic for offline analysis to confirm request patterns, destinations, and any malicious indicators before stronger containment is applied.",AE-050,generally_supported,"The evidence supports continuous monitoring and event identification/monitoring capabilities, which is directionally consistent with collecting traffic for analysis, but it does not explicitly authorize traffic capture."
shuffled_rag,iot-v2-021,1,Recon,INCREASE_LOGGING,Increase visibility to confirm whether the activity is probe-like and to preserve evidence for operator review.,AE-051,unsupported,"The cited material is about authentication and access control, not increasing visibility or logging to confirm probe-like activity."
rag,iot-v2-008,3,Benign,NOTIFY_OPERATOR,Provides human oversight without disruptive containment for a low-risk alert.,AE-052,generally_supported,"The excerpts support monitoring and authorized access to cybersecurity state information, but they do not specifically justify notifying an operator rather than simply monitoring."
rag,iot-v2-008,1,Benign,MONITOR,Primary response aligned with the detector routing decision and the high-confidence benign classification.,AE-053,directly_supported,"The excerpts explicitly support continuous monitoring for deviations from expected activity and event identification/monitoring, directly supporting MONITOR."
shuffled_rag,iot-v2-023,2,Recon,CAPTURE_TRAFFIC,"Preserve packet-level evidence to confirm whether the traffic pattern reflects benign service discovery, periodic telemetry, or reconnaissance.",AE-054,unsupported,"The RFC excerpt concerns MUD ACL features and allowed actions, not packet capture or preserving traffic evidence."
rag,iot-v2-012,2,DoS,INCREASE_LOGGING,Collect more telemetry to validate whether the pattern is sustained DoS activity and to support operator review.,AE-055,unsupported,"The excerpts discuss DoS/resource exhaustion and return routability checks, not collecting more telemetry or increasing logging."
rag,iot-v2-027,1,Spoofing,CAPTURE_TRAFFIC,Preserve packets/flow evidence for offline validation of the spoofing hypothesis.,AE-056,generally_supported,"RFC 8520 and NIST excerpts support controlling and restricting network access, which is relevant to spoofing defense, but they do not directly support capturing traffic."
rag,iot-v2-010,1,DDoS,RATE_LIMIT,Reduce immediate flood impact while preserving some telemetry for analysis.,AE-057,unsupported,"The excerpts support DDoS/flooding concerns, but do not mention rate limiting or a comparable concrete mechanism."
rag,iot-v2-003,1,Benign,INCREASE_LOGGING,"Increase observability to capture additional context for a low-confidence, non-confirmed event.",AE-058,unsupported,"The evidence supports continuous monitoring and event identification/monitoring, but not the specific action of increasing logging."
rag,iot-v2-010,2,DDoS,CAPTURE_TRAFFIC,Collect packet evidence to confirm attack characteristics and support triage.,AE-059,unsupported,"The excerpts support awareness of DDoS and flooding, but do not justify capturing traffic for analysis."
shuffled_rag,iot-v2-019,1,Mirai,INCREASE_LOGGING,Collect more telemetry because the alert is below confidence threshold and device identity is not validated.,AE-060,unsupported,"The evidence supports monitoring for anomalies and unauthorized activity, but not increasing logging as the concrete action."
rag,iot-v2-001,3,Benign,NOTIFY_OPERATOR,Provides awareness to an operator while keeping the response bounded and non-disruptive.,AE-061,generally_supported,"The excerpts support continuous monitoring and making cybersecurity state information accessible to authorized entities, which is compatible with operator notification, but they do not explicitly support notifying an operator."
shuffled_rag,iot-v2-009,1,DDoS,RATE_LIMIT,Reduce probable flood intensity while preserving limited service availability.,AE-062,unsupported,"The excerpts support DoS resistance and resource-exhaustion concerns, but not rate limiting."
shuffled_rag,iot-v2-025,2,Spoofing,CAPTURE_TRAFFIC,"Preserve packet evidence for offline validation of source behavior, handshake patterns, and potential address impersonation.",AE-063,unsupported,"The excerpts focus on input validation and authentication, not preserving packet evidence for spoofing analysis."
shuffled_rag,iot-v2-025,3,Spoofing,NOTIFY_OPERATOR,Human review is appropriate because mitigation must be gateway-scoped and evidence-based.,AE-064,unsupported,The cited excerpts are unrelated to notifying an operator; they discuss validating input data.
rag,iot-v2-020,1,Spoofing,INCREASE_LOGGING,Collect more evidence because confidence is just below threshold and the alert lacks a validated device identifier.,AE-065,generally_supported,"The evidence supports authentication and restricting access to interfaces, which is relevant to spoofing suspicion, but not specifically increasing logging."
shuffled_rag,iot-v2-001,1,Benign,MONITOR,High-confidence benign classification with no strong malicious signals supports continued observation only.,AE-066,unsupported,"The cited ETSI/NIST excerpts concern authentication, confidentiality, and access restriction, not monitoring for a benign flow."
shuffled_rag,iot-v2-013,3,DoS,NOTIFY_OPERATOR,Human review is warranted because the alert is high-confidence but device identity is unverified.,AE-067,unsupported,"The evidence supports limiting access and preventing external access, but not escalating to a human reviewer because identity is unverified."
rag,iot-v2-021,1,Recon,INCREASE_LOGGING,Increase visibility on the implicated gateway flow profile to capture follow-on indicators and support validation of recon behavior.,AE-068,generally_supported,"The excerpts support continuous monitoring of networks and services for unauthorized or anomalous activity, which is directionally consistent with increasing logging, but not the specific action."
rag,iot-v2-027,2,Spoofing,INCREASE_LOGGING,Collect additional telemetry to distinguish spoofing from benign bursty traffic.,AE-069,generally_supported,"The excerpts support access restriction and ACL-based control of network traffic, which is related to investigating anomalous traffic, but they do not directly justify increasing logging."
shuffled_rag,iot-v2-003,2,Benign,CAPTURE_TRAFFIC,Useful for confirming whether the observed profile is benign or reflects emerging misuse without assuming device identity.,AE-070,unsupported,"The excerpts are about authentication and protecting security parameters, not capturing traffic as evidence or for validation."
shuffled_rag,iot-v2-014,2,DoS,CAPTURE_TRAFFIC,Collect packet-level evidence to validate attack pattern and refine containment without assuming device identity.,AE-071,unsupported,The cited documents do not mention packet capture or traffic collection as a DoS response.
rag,iot-v2-012,1,DoS,RATE_LIMIT,Throttle the suspicious flow profile to reduce service-impact risk while preserving visibility.,AE-072,unsupported,"The excerpts support DoS resistance mechanisms, but not rate limiting as the recommended action."
shuffled_rag,iot-v2-016,2,DDoS,CAPTURE_TRAFFIC,Collect packet/flow evidence to confirm pattern and support incident handling.,AE-073,unsupported,"The excerpts support detecting and defending against DoS/DDoS, but not traffic capture as an incident-handling step."
shuffled_rag,iot-v2-022,3,Recon,NOTIFY_OPERATOR,Operator review is appropriate because the alert is high confidence but device identity is not validated.,AE-074,unsupported,"The evidence addresses authentication and access control requirements, not notifying an operator based on alert confidence or identity validation."
shuffled_rag,iot-v2-012,1,DoS,RATE_LIMIT,Reduce the impact of sustained high-rate traffic while preserving bounded connectivity.,AE-075,unsupported,"The evidence speaks to restricting access to authorized entities and disabling interfaces, not rate limiting sustained traffic."
shuffled_rag,iot-v2-012,2,DoS,INCREASE_LOGGING,Collect additional evidence for validation and attribution since no device identifier is available.,AE-076,unsupported,The excerpts do not support increasing logging for additional evidence or attribution.
rag,iot-v2-023,3,Recon,NOTIFY_OPERATOR,Route to human review because the detector escalated despite low confidence and no validated device identifier.,AE-077,generally_supported,"The excerpts support continuous monitoring for anomalies and adversarial events, which can justify human review in general, but they do not explicitly support operator notification."
shuffled_rag,iot-v2-017,2,Mirai,RESTRICT_EGRESS,Contain likely botnet-like outbound activity while minimizing disruption to unrelated traffic.,AE-078,generally_supported,"The excerpts support monitoring networks for anomalies and unauthorized activity, which aligns with the security objective behind restricting egress, but they do not explicitly recommend egress restriction."
rag,iot-v2-016,2,DDoS,INCREASE_LOGGING,Capture higher-fidelity telemetry to confirm whether the observed high-rate pattern is sustained and externally directed.,AE-079,unsupported,"The excerpts support DDoS/flooding as a threat, but not increasing logging to confirm it."
shuffled_rag,iot-v2-007,1,BruteForce,INCREASE_LOGGING,Collect more evidence to distinguish brute-force behavior from normal retransmissions or bursty client activity.,AE-080,unsupported,"The excerpts address denial-of-service resistance and cookies, not increasing logging for brute-force detection."
rag,iot-v2-023,1,Recon,INCREASE_LOGGING,Improve visibility for a low-confidence alert and preserve evidence for review.,AE-081,generally_supported,"The evidence supports continuous monitoring for anomalies and adverse events, but it does not explicitly support increasing logging or evidence preservation."
rag,iot-v2-024,3,Spoofing,NOTIFY_OPERATOR,Human review is appropriate given the high-confidence alert and the inability to tie the flow to a specific device.,AE-082,unsupported,"The cited material supports authentication and access restriction, not human notification."
shuffled_rag,iot-v2-021,2,Recon,CAPTURE_TRAFFIC,Packet or flow capture can validate whether the profile reflects reconnaissance versus benign connection churn.,AE-083,unsupported,"The cited excerpts are about authentication and interface access control, not capturing traffic for validation of connection behavior."
rag,iot-v2-005,1,BruteForce,INCREASE_LOGGING,Collect additional evidence for suspected repeated authentication attempts and support validation without assuming device identity.,AE-084,unsupported,"The evidence discusses authentication changes and threshold controls for failed attempts, but not increasing logging."
rag,iot-v2-003,2,Benign,CAPTURE_TRAFFIC,Preserve packet/flow evidence for offline review and validation of the benign prediction.,AE-085,unsupported,The cited continuous monitoring and event-identification excerpts do not explicitly support capturing traffic packets/flows.
shuffled_rag,iot-v2-020,3,Spoofing,NOTIFY_OPERATOR,Human review is appropriate because confidence is below threshold and no device identity is validated.,AE-086,unsupported,"The ETSI excerpts concern input validation and prevention of manipulations, not operator notification."
rag,iot-v2-022,3,Recon,NOTIFY_OPERATOR,High-confidence recon alert without device identity warrants human review and containment decisioning.,AE-087,generally_supported,"The excerpts support monitoring for anomalies and adverse events and concern recon-like threats, but they do not explicitly support notifying an operator."
shuffled_rag,iot-v2-005,3,BruteForce,NOTIFY_OPERATOR,Human review is appropriate for a likely authentication or access-abuse pattern.,AE-088,unsupported,"The excerpts are about general DoS threats and response mechanisms, not notifying an operator about brute-force behavior."
rag,iot-v2-019,3,Mirai,NOTIFY_OPERATOR,Escalation is appropriate given the detector routing decision and uncertainty.,AE-089,unsupported,"The cited excerpts concern interface restriction and malicious code protection, not notifying an operator."
rag,iot-v2-016,1,DDoS,RESTRICT_EGRESS,Limit potential flood propagation while preserving gateway control and reducing collateral exposure.,AE-090,unsupported,"The excerpts discuss DDoS risk and flooding, but do not support restricting egress specifically."
shuffled_rag,iot-v2-022,2,Recon,CAPTURE_TRAFFIC,Collect packet evidence to validate the recon hypothesis and identify repeated targets or patterns.,AE-091,unsupported,"The cited material does not mention packet capture, traffic collection, or preserving flow evidence."
shuffled_rag,iot-v2-010,3,DDoS,NOTIFY_OPERATOR,Human review is appropriate because the alert is high-confidence but lacks a validated device identifier.,AE-092,unsupported,"The excerpts support detection and defense against resource exhaustion/DoS, but not notifying an operator."
rag,iot-v2-021,2,Recon,CAPTURE_TRAFFIC,"Packet capture can confirm whether the traffic is probing, scanning, or otherwise enumerating services without assuming device identity.",AE-093,generally_supported,"The excerpts support monitoring network assets for unauthorized or anomalous activity, which is consistent with validating recon via traffic analysis, but they do not directly support packet capture."
rag,iot-v2-027,3,Spoofing,NOTIFY_OPERATOR,Human review is appropriate given low confidence and the potential impact of false-positive containment.,AE-094,generally_supported,"RFC 8520 and NIST excerpts support network access control and authentication, which fit a spoofing-related concern, but they do not directly support notifying an operator."
shuffled_rag,iot-v2-008,3,Benign,NOTIFY_OPERATOR,Provide human awareness without assuming device identity or taking disruptive action.,AE-095,unsupported,"The excerpts address authentication and confidentiality, not informing an operator."
shuffled_rag,iot-v2-009,3,DDoS,NOTIFY_OPERATOR,Human review is appropriate because this is mitigation intent only and device identity is not validated.,AE-096,unsupported,"The excerpts support DoS resistance and detection, but not operator notification for mitigation intent."
rag,iot-v2-011,2,DDoS,CAPTURE_TRAFFIC,Preserve traffic for analysis to confirm or refute flood behavior before disruptive mitigation.,AE-097,unsupported,"The excerpts discuss DDoS and flooding, but do not support traffic capture or preserving packets for analysis."
shuffled_rag,iot-v2-007,3,BruteForce,NOTIFY_OPERATOR,Human review is needed before any restrictive action due to low model confidence and limited device attribution.,AE-098,unsupported,"The evidence supports DoS resistance and failed-attempt thresholds, but not the specific action of notifying an operator."
shuffled_rag,iot-v2-017,1,Mirai,CAPTURE_TRAFFIC,"Collect packet evidence to confirm the traffic pattern and support triage, especially given the lack of a validated device identifier.",AE-099,unsupported,"The evidence supports continuous monitoring of networks and services, but not capturing traffic."
rag,iot-v2-016,3,DDoS,NOTIFY_OPERATOR,Human review is appropriate because the alert is high-confidence but lacks a validated device identifier.,AE-100,unsupported,"The excerpts support DDoS awareness and resistance, but not notifying an operator based on missing device identity."
rag,iot-v2-001,1,Benign,MONITOR,Aligned with the detector routing decision and the high-confidence benign classification; maintains oversight without disruption.,AE-101,directly_supported,"The excerpts explicitly call for continuous monitoring of assets to find anomalies and deviations from expected activity, directly supporting MONITOR."
rag,iot-v2-030,3,Web,NOTIFY_OPERATOR,Human review is appropriate because the alert is flow-based and execution is not permitted.,AE-102,unsupported,"The cited excerpts support validating unexpected data input over application or network interfaces, not notifying an operator."
rag,iot-v2-030,1,Web,INCREASE_LOGGING,Collect additional evidence for the observed web flow pattern and any unexpected request characteristics.,AE-103,unsupported,The evidence is about input validation and protocol standards; it does not support increasing logging or telemetry.
shuffled_rag,iot-v2-026,3,Spoofing,NOTIFY_OPERATOR,Human review is warranted because the alert is high-confidence but device identity is unvalidated and execution is forbidden.,AE-104,unsupported,"The excerpts are about validating inputs and preventing execution of unexpected code, not notifying an operator."
shuffled_rag,iot-v2-010,2,DDoS,INCREASE_LOGGING,Collect more evidence on source patterns and persistence before stronger containment.,AE-105,unsupported,"The excerpts mention detection of attacks and vulnerability reporting, but not increasing logging or source-pattern collection."
shuffled_rag,iot-v2-022,1,Recon,INCREASE_LOGGING,"Increase visibility to confirm whether the behavior is scanning, probing, or transient legitimate traffic.",AE-106,unsupported,"The evidence discusses authentication and access restrictions, not increasing logging to distinguish scanning or probing from legitimate traffic."
shuffled_rag,iot-v2-006,3,BruteForce,NOTIFY_OPERATOR,"This is a likely active attack pattern, and human review is appropriate before stronger containment.",AE-107,unsupported,"The cited excerpts describe flooding, DDoS, and resource exhaustion, not operator notification for a brute-force case."
rag,iot-v2-001,2,Benign,INCREASE_LOGGING,Improves visibility into whether this flow remains routine or develops anomalous characteristics.,AE-108,unsupported,"The excerpts support continuous monitoring and monitoring tools, but not the specific action of increasing logging."
rag,iot-v2-003,3,Benign,NOTIFY_OPERATOR,"Human review is appropriate because the alert is escalated despite a benign, low-confidence classification.",AE-109,generally_supported,"The excerpts support continuous monitoring and authorized access to cybersecurity state, which supports human review/awareness, but they do not explicitly justify operator notification."
shuffled_rag,iot-v2-024,2,Spoofing,CAPTURE_TRAFFIC,Preserve packet evidence for offline analysis of session characteristics and potential identity or header anomalies.,AE-110,unsupported,"The ETSI excerpts are about input validation, not packet/flow capture for analyzing session or header anomalies."
rag,iot-v2-024,1,Spoofing,INCREASE_LOGGING,Collect additional evidence to confirm whether the traffic is spoofed and to preserve an audit trail.,AE-111,generally_supported,"The excerpts support authentication and access control, which are relevant to spoofing investigation, but not specifically increasing logging."
rag,iot-v2-009,1,DDoS,RATE_LIMIT,Reduce the impact of apparent flooding while preserving visibility into the traffic pattern.,AE-112,unsupported,"The excerpts support flooding/DDoS as a threat, but do not support rate limiting."
rag,iot-v2-020,2,Spoofing,CAPTURE_TRAFFIC,Capture traffic to confirm whether the observed profile reflects spoofing or benign service behavior.,AE-113,unsupported,"The cited NIST excerpts concern authentication and access restriction, not capturing traffic."
rag,iot-v2-028,3,Benign,NOTIFY_OPERATOR,Operator awareness is appropriate because the alert is intent-only and device identity is unvalidated.,AE-114,generally_supported,"The excerpts support continuous monitoring and access to cybersecurity state by authorized entities, which is consistent with operator awareness, but not explicit operator notification."
rag,iot-v2-026,3,Spoofing,NOTIFY_OPERATOR,Human review is warranted because device identity is unvalidated and the action is mitigation intent only.,AE-115,generally_supported,"The evidence supports requiring authentication and limiting access to authorized entities, which is compatible with operator review of spoofing concerns, but it does not directly support notification."
shuffled_rag,iot-v2-023,3,Recon,NOTIFY_OPERATOR,"Human review is appropriate due to uncertainty, limited feature fidelity, and the routing decision to escalate.",AE-116,unsupported,"The RFC and NIST excerpts support ACLs, authentication, and interface restriction, not notifying an operator for human review."
shuffled_rag,iot-v2-011,2,DDoS,CAPTURE_TRAFFIC,Preserve packet/flow evidence for offline review given low confidence and lack of device identity.,AE-117,unsupported,"The excerpts support defense against resource-exhaustion attacks, but not capturing traffic for offline review."
