audit_id,case_id,action_index,predicted_family,action,rationale,label,reason
EB-019,iot-v2-032,2,Spoofing,INCREASE_LOGGING,Collect evidence to confirm whether the flow is spoofed or otherwise unauthorized.,generally_supported,"The excerpts support event identification, monitoring, investigations, and preserving system state information, which can justify increased logging/visibility. They do not specifically mention logging."
EB-020,iot-v2-032,3,Spoofing,NOTIFY_OPERATOR,Human review is appropriate because no validated device identifier is available and mitigation is intent-only.,directly_supported,The excerpts explicitly say internal and external stakeholders are notified of incidents and that incident coordination includes what must be reported to whom and when.
EB-021,iot-v2-017,1,Mirai,RESTRICT_EGRESS,Applied the predefined bounded policy default.,generally_supported,"The excerpts support restricting logical access to local and network interfaces and disabling unnecessary interfaces, which aligns with limiting network exposure. They do not explicitly support an egress-specific restriction."
EB-022,iot-v2-017,2,Mirai,CAPTURE_TRAFFIC,Applied the predefined bounded policy default.,unsupported,"The excerpts discuss interface access control and malicious code protection, but do not mention capturing network traffic or collecting packet evidence."
EB-023,iot-v2-017,3,Mirai,NOTIFY_OPERATOR,Applied the predefined bounded policy default.,unsupported,"The excerpts mention educating customers about malicious code protection and responses, but do not support notifying an operator as the recommended action."
EB-024,iot-v2-002,1,Benign,NO_ACTION,The detector classified the observation as benign.,unsupported,"The evidence speaks to continuous monitoring and event identification, not to the specific NO_ACTION recommendation."
EB-025,iot-v2-002,2,Benign,MONITOR,Continue non-disruptive observation.,generally_supported,"The excerpts support monitoring activities and proactive assessment of cybersecurity posture, which generally supports MONITOR, but do not explicitly recommend that action for a benign finding."
EB-026,iot-v2-019,1,Mirai,CAPTURE_TRAFFIC,Collect additional evidence before a disruptive decision.,unsupported,"The excerpts support interface restriction and malicious code protection guidance, but not collecting traffic as an evidentiary step before action."
EB-027,iot-v2-019,2,Mirai,NOTIFY_OPERATOR,Detector confidence is below the validated threshold.,unsupported,"The cited excerpts address access control and anti-malware education, but provide no basis for notifying an operator because detector confidence is low."
EB-028,iot-v2-021,1,Recon,INCREASE_LOGGING,Increase visibility on the implicated gateway flow profile to capture follow-on indicators and support validation of recon behavior.,generally_supported,"The excerpts support continuous monitoring and event identification for anomalies and other adverse events, which aligns with increasing visibility/logging, but they do not explicitly recommend increasing logging for recon specifically."
EB-029,iot-v2-021,2,Recon,CAPTURE_TRAFFIC,"Packet capture can confirm whether the traffic is probing, scanning, or otherwise enumerating services without assuming device identity.",generally_supported,"The evidence supports monitoring networks and collecting incident evidence, but it does not explicitly justify packet capture or traffic capture as the recommended action."
EB-030,iot-v2-021,3,Recon,NOTIFY_OPERATOR,Operator awareness is appropriate because the alert is high-confidence but mitigation remains intent-only and device identity is unverified.,generally_supported,"The excerpts support incident response reporting and communication with stakeholders and continuous monitoring, which can justify notifying an operator in general, but they do not explicitly direct operator notification for recon."
EB-031,iot-v2-006,1,BruteForce,RATE_LIMIT,Reduce attempt volume while preserving limited connectivity during investigation.,directly_supported,"The ETSI excerpt explicitly says the device should limit authentication attempts within a time interval, use increasing time intervals between attempts, and lock or delay further attempts after failures, which directly supports rate limiting against brute-force attacks."
EB-032,iot-v2-006,2,BruteForce,NOTIFY_OPERATOR,Human review is appropriate given the likely credential attack and lack of validated device identity.,generally_supported,"The evidence supports notification as part of incident response, but it does not explicitly support operator notification for human review due to unverified device identity or brute-force suspicion."
EB-033,iot-v2-001,1,Benign,NO_ACTION,The detector classified the observation as benign.,unsupported,"The excerpts address monitoring for adverse events and IoT monitoring support, but they do not support the specific NO_ACTION recommendation."
EB-034,iot-v2-001,2,Benign,MONITOR,Continue non-disruptive observation.,generally_supported,"The evidence supports continuous monitoring of assets and event identification capabilities, which generally supports MONITOR, but not as an explicit decision rule."
EB-035,iot-v2-026,1,Spoofing,INCREASE_LOGGING,Improves evidence quality for a suspected spoofing condition without prematurely disrupting service.,generally_supported,"The excerpts support investigations, forensics, and event monitoring, which are consistent with improving evidence quality. They do not specifically support increasing logging."
EB-036,iot-v2-026,2,Spoofing,CAPTURE_TRAFFIC,Preserves packet-level evidence to validate whether the traffic is spoofed or otherwise anomalous.,directly_supported,"The excerpts explicitly support collecting and retaining incident evidence and conducting investigations, which directly supports traffic capture for later analysis."
EB-037,iot-v2-026,3,Spoofing,NOTIFY_OPERATOR,Human review is warranted because device identity is unvalidated and the action is mitigation intent only.,directly_supported,The excerpts explicitly support notifying stakeholders of incidents and coordinating reporting and communication.
EB-038,iot-v2-005,1,BruteForce,INCREASE_LOGGING,Collect additional evidence for suspected repeated authentication attempts and support validation without assuming device identity.,generally_supported,"The NIST excerpt supports conducting incident analysis and documenting what happened, which aligns with increasing logging for investigation, but it does not explicitly recommend increased logging."
EB-039,iot-v2-005,2,BruteForce,NOTIFY_OPERATOR,Low operational ambiguity remains because the alert is strong but device identity is unverified; operator review is appropriate.,generally_supported,"The evidence supports incident notification in general, but not the specific rationale for notifying an operator because the alert is strong and device identity is unverified."
EB-040,iot-v2-023,1,Recon,CAPTURE_TRAFFIC,Collect additional evidence before a disruptive decision.,generally_supported,"The excerpts support monitoring and retaining evidence from incidents, which is consistent with collecting more evidence, but they do not specifically support traffic capture before a disruptive decision."
EB-041,iot-v2-023,2,Recon,NOTIFY_OPERATOR,Detector confidence is below the validated threshold.,generally_supported,"The excerpts support continuous monitoring and coordinated incident response communication, which can relate to notifying an operator, but they do not support the confidence-threshold rationale."
EB-042,iot-v2-003,1,Benign,CAPTURE_TRAFFIC,Collect additional evidence before a disruptive decision.,generally_supported,"The excerpts support collecting and making cybersecurity state information available and continuous monitoring, which is consistent with CAPTURE_TRAFFIC as evidence collection, but they do not explicitly mention traffic capture."
EB-043,iot-v2-003,2,Benign,NOTIFY_OPERATOR,Detector confidence is below the validated threshold.,unsupported,"The excerpts support reporting cybersecurity state and monitoring, but they do not justify NOTIFY_OPERATOR or any threshold-based notification decision."
EB-044,iot-v2-013,1,DoS,RATE_LIMIT,Reduce impact from sustained high-rate traffic while preserving some visibility into the flow.,unsupported,"The excerpts discuss DoS resistance and cookie-based state delays, but do not support the specific action of rate limiting."
EB-045,iot-v2-013,2,DoS,CAPTURE_TRAFFIC,Collect evidence to confirm whether the traffic is flood-like and to support downstream analysis.,generally_supported,"The evidence supports collecting and retaining incident evidence for analysis, which is compatible with capturing traffic, but it does not explicitly mention packet capture or traffic collection."
EB-046,iot-v2-013,3,DoS,NOTIFY_OPERATOR,Operator awareness is warranted because the detector confidence is above threshold and the gateway cannot validate a device identity.,generally_supported,"The excerpts support notifying stakeholders after an incident is analyzed and prioritized, but they do not specifically justify operator notification based on detector confidence or identity validation failure."
EB-047,iot-v2-020,1,Spoofing,CAPTURE_TRAFFIC,Collect additional evidence before a disruptive decision.,generally_supported,"The excerpts support collecting and retaining evidence and performing investigations, which generally supports capturing traffic before a disruptive decision. The traffic-specific action is not stated."
EB-048,iot-v2-020,2,Spoofing,NOTIFY_OPERATOR,Detector confidence is below the validated threshold.,directly_supported,"The excerpts explicitly support notifying stakeholders of incidents and following incident coordination procedures, which directly supports operator notification."
EB-049,iot-v2-018,1,Mirai,RESTRICT_EGRESS,Contain likely bot-like outbound activity while preserving essential management access.,generally_supported,"Restricting logical access to network interfaces and disabling unnecessary interfaces is consistent with limiting outbound activity, but the excerpts do not explicitly justify an egress-control action."
EB-050,iot-v2-018,2,Mirai,CAPTURE_TRAFFIC,Collect evidence to confirm whether the traffic is consistent with Mirai-style scanning or command activity.,unsupported,"The excerpts concern access control and malware protection guidance, not traffic capture for confirming Mirai-style scanning or command traffic."
EB-051,iot-v2-018,3,Mirai,NOTIFY_OPERATOR,Human review is warranted because the alert is high-confidence but device identity is unvalidated and execution is not permitted.,unsupported,"The excerpts discuss access restriction and customer education on malicious code response, but do not support human notification based on alert confidence, device identity, or execution restrictions."
EB-052,iot-v2-011,1,DDoS,CAPTURE_TRAFFIC,Collect additional evidence before a disruptive decision.,generally_supported,"The evidence supports collecting and retaining incident evidence and using monitoring to limit traffic/trigger alarms, which is compatible with capturing traffic for evidence, but it does not directly endorse packet capture before action."
EB-053,iot-v2-011,2,DDoS,NOTIFY_OPERATOR,Detector confidence is below the validated threshold.,generally_supported,"The excerpts support notifying internal/external stakeholders after incident analysis and prioritization, but they do not support the specific rationale about detector confidence being below threshold."
EB-054,iot-v2-016,1,DDoS,INCREASE_LOGGING,Capture higher-fidelity telemetry to confirm whether the observed high-rate pattern is sustained and externally directed.,generally_supported,"The excerpts support incident analysis, forensics, and documenting what happened, plus identifying DDoS flooding, but they do not explicitly recommend increasing logging."
EB-055,iot-v2-016,2,DDoS,NOTIFY_OPERATOR,Human review is appropriate because the alert is high-confidence but lacks a validated device identifier.,generally_supported,"The excerpts support notifying stakeholders and more detailed review of incidents, but they do not specifically justify operator notification due to missing device identity."
EB-056,iot-v2-012,1,DoS,RATE_LIMIT,Throttle the suspicious flow profile to reduce service-impact risk while preserving visibility.,unsupported,"The cited excerpts discuss DoS resistance and detection of resource exhaustion, but they do not support throttling or rate limiting suspicious traffic."
EB-057,iot-v2-012,2,DoS,INCREASE_LOGGING,Collect more telemetry to validate whether the pattern is sustained DoS activity and to support operator review.,generally_supported,"The evidence supports incident investigation, documentation, and forensics, but it does not explicitly support increasing logging."
EB-058,iot-v2-012,3,DoS,NOTIFY_OPERATOR,Escalate because the detector confidence is high and the gateway cannot identify a specific device from the CSV features.,generally_supported,"The excerpts support notifying internal and external stakeholders of incidents, but not the specific trigger conditions given in the rationale."
EB-059,iot-v2-004,1,Spoofing,RESTRICT_EGRESS,Applied the predefined bounded policy default.,unsupported,"The cited material discusses restricting interfaces, access control, and MUD policy behavior, but not egress restriction as a response action for spoofing."
EB-060,iot-v2-004,2,Spoofing,CAPTURE_TRAFFIC,Applied the predefined bounded policy default.,directly_supported,"The excerpts explicitly support collecting and retaining incident evidence and preserving it for investigation, which directly supports capturing traffic."
EB-061,iot-v2-004,3,Spoofing,NOTIFY_OPERATOR,Applied the predefined bounded policy default.,directly_supported,The excerpts explicitly support notifying stakeholders of incidents and coordinating incident communications.
EB-062,iot-v2-024,1,Spoofing,INCREASE_LOGGING,Collect additional evidence to confirm whether the traffic is spoofed and to preserve an audit trail.,generally_supported,"The excerpts support monitoring, investigation, and preserving system state information, which align with increasing logging/visibility. They do not explicitly mention logging."
EB-063,iot-v2-024,2,Spoofing,CAPTURE_TRAFFIC,Preserve packet/flow samples for offline analysis because the current features are insufficient to validate identity or intent.,directly_supported,"The excerpts explicitly support collecting and retaining evidence from incidents and investigations to determine what happened, which directly supports capturing traffic for offline analysis."
EB-064,iot-v2-024,3,Spoofing,NOTIFY_OPERATOR,Human review is appropriate given the high-confidence alert and the inability to tie the flow to a specific device.,directly_supported,"The excerpts explicitly support notifying stakeholders of incidents and establishing incident coordination procedures, which directly supports operator notification."
EB-065,iot-v2-014,1,DoS,INCREASE_LOGGING,Capture more detail to confirm whether the bursty high-rate pattern is sustained and to support later containment decisions.,generally_supported,"The evidence supports incident analysis and documenting what happened, which is related to increasing logging, but it does not explicitly recommend more logging."
EB-066,iot-v2-014,2,DoS,CAPTURE_TRAFFIC,"Collect packet evidence for offline validation of DoS characteristics and to distinguish scanning, flooding, or malformed-traffic patterns.",generally_supported,"The evidence supports collecting and retaining incident evidence for analysis and forensics, which is compatible with capturing traffic, but it does not explicitly call for packet capture."
EB-067,iot-v2-014,3,DoS,NOTIFY_OPERATOR,High-confidence alert with no validated device identity warrants human review before stronger containment is applied.,generally_supported,"The excerpts support notifying stakeholders and prioritizing incidents, but they do not specifically justify notifying an operator because of high confidence and missing device identity."
EB-068,iot-v2-031,1,Web,CAPTURE_TRAFFIC,Collect additional evidence before a disruptive decision.,unsupported,"The excerpts support validating or discarding unexpected input and capturing the event as telemetry, but not capturing traffic for offline review."
EB-069,iot-v2-031,2,Web,NOTIFY_OPERATOR,Detector confidence is below the validated threshold.,unsupported,"The excerpts do not mention detector confidence, thresholds, or operator notification based on uncertainty."
EB-070,iot-v2-022,1,Recon,CAPTURE_TRAFFIC,Preserve packet evidence to validate whether the traffic is scan-like or part of an expected service pattern.,generally_supported,"The evidence supports collecting and retaining incident evidence and monitoring networks, but it does not explicitly support packet capture or preserving packet evidence for recon."
EB-071,iot-v2-022,2,Recon,INCREASE_LOGGING,Increase telemetry to support incident validation and correlation for anomalous connection attempts.,generally_supported,"The excerpts directly support event identification and monitoring capabilities and access to device state information, which is compatible with increasing telemetry/logging, but they do not explicitly say to increase logging."
EB-072,iot-v2-022,3,Recon,NOTIFY_OPERATOR,High-confidence recon alert without device identity warrants human review and containment decisioning.,generally_supported,"The excerpts support incident response reporting/communication and continuous monitoring, which can justify notifying an operator, but they do not specifically address high-confidence recon alerts or human review/containment decisioning."
EB-073,iot-v2-009,1,DDoS,RATE_LIMIT,Reduce the impact of apparent flooding while preserving visibility into the traffic pattern.,unsupported,"The excerpts discuss DoS resistance and detection/defense against resource exhaustion, but do not explicitly support rate limiting as the action."
EB-074,iot-v2-009,2,DDoS,CAPTURE_TRAFFIC,Collect evidence to confirm the flood characteristics and support operator review.,generally_supported,"The evidence supports collecting and retaining incident evidence and monitoring behavior/traffic, which is compatible with traffic capture, but it does not directly recommend capturing traffic."
EB-075,iot-v2-009,3,DDoS,NOTIFY_OPERATOR,Escalate for human review because the alert is high-confidence but device identity is unavailable.,generally_supported,"The excerpts support notifying stakeholders and prioritizing incidents for review, but they do not specifically justify escalation because device identity is unavailable."
EB-076,iot-v2-030,1,Web,INCREASE_LOGGING,Collect additional evidence for the observed web flow pattern and any unexpected request characteristics.,unsupported,"The excerpts support input validation and telemetry capture, but not increasing logging for web-flow patterns or malformed requests."
EB-077,iot-v2-030,2,Web,CAPTURE_TRAFFIC,Preserve packets for offline review of application-layer content and potential malformed or unexpected inputs.,unsupported,"The excerpts support discarding invalid input and capturing telemetry, not preserving packets or capturing traffic."
EB-078,iot-v2-030,3,Web,NOTIFY_OPERATOR,Human review is appropriate because the alert is flow-based and execution is not permitted.,unsupported,"The excerpts show validation/escaping to prevent code execution and mention notifications generally, but do not justify notifying an operator for a flow-based alert."
EB-079,iot-v2-015,1,DoS,CAPTURE_TRAFFIC,Collect additional evidence before a disruptive decision.,generally_supported,"The evidence supports collecting and retaining incident evidence before analysis, which aligns with capturing traffic, but it does not explicitly state traffic capture."
EB-080,iot-v2-015,2,DoS,NOTIFY_OPERATOR,Detector confidence is below the validated threshold.,generally_supported,"The excerpts support notifying stakeholders and prioritizing incidents, but they do not support the rationale based on low detector confidence."
