item_id,case_id,predicted_family,rank,chunk_id,first_label,second_label,second_reason
iot-009|2,iot-009,DDoS,2,RFC8576-0021,direct,direct,"Directly discusses IoT DoS/DDoS mechanisms such as flooding, jamming, and use of compromised things for DDoS, which is directly relevant."
iot-009|3,iot-009,DDoS,3,RFC8576-0044,direct,direct,"Provides direct DoS resistance guidance and specific countermeasures like cookie-based return routability checks, applicable to DDoS/DoS mitigation."
iot-010|1,iot-010,DDoS,1,RFC8576-0012,direct,direct,"Same excerpt as above and explicitly references IoT systems being used to perform DDoS, directly relevant to the predicted family."
iot-010|2,iot-010,DDoS,2,RFC8576-0021,direct,direct,"Directly describes DDoS-related disruption methods in IoT, including flooding and compromised devices used for DDoS."
iot-010|3,iot-010,DDoS,3,RFC8576-0044,direct,direct,Contains direct DoS resistance controls and mitigation mechanisms applicable to DDoS defense.
iot-012|1,iot-012,DoS,1,RFC8576-0044,direct,direct,Directly discusses DoS resistance and countermeasures such as cookie mechanisms to prevent resource-exhaustion attacks.
iot-012|2,iot-012,DoS,2,ETSI.EN.303.645.V3.1.3-0035,supporting,direct,"Addresses limiting authentication attempts and delaying retries to prevent credential-stuffing and key-space exhaustion, which are DoS-relevant resource exhaustion controls."
iot-012|3,iot-012,DoS,3,RFC8576-0020,direct,supporting,"Discusses routing attacks like blackhole, selective forwarding, wormhole, and Sybil that can degrade availability, offering useful context for availability attacks but not direct DoS guidance."
iot-013|1,iot-013,DoS,1,RFC8576-0044,direct,direct,Directly covers DoS resistance and explicit countermeasures against resource-exhaustion attacks.
iot-013|2,iot-013,DoS,2,ETSI.EN.303.645.V3.1.3-0035,supporting,direct,Provides the same direct anti-exhaustion/authentication throttling controls relevant to DoS mitigation.
iot-013|3,iot-013,DoS,3,RFC8576-0020,direct,supporting,"Lists network attacks that can impact availability, but it is more about routing/security threats than direct DoS mitigation."
iot-017|1,iot-017,Mirai,1,NIST.IR.8259A-0018,direct,supporting,"Restricting interface access and authorized-only services can help reduce Mirai-style exploitation, but the excerpt does not mention Mirai or malware directly."
iot-017|2,iot-017,Mirai,2,NIST.SP.800-213A-0129,supporting,supporting,"Malicious code protection, vulnerability notification, and customer guidance are useful against IoT malware like Mirai, but the passage is general rather than Mirai-specific."
iot-017|3,iot-017,Mirai,3,NIST.SP.800-213A-0048,direct,direct,"Explicitly recommends disabling unnecessary interfaces, preventing external access to the management interface, and restricting access/updates—controls directly relevant to mitigating Mirai-style IoT compromise and botnet enrollment."
iot-018|1,iot-018,Mirai,1,NIST.IR.8259A-0018,direct,direct,"Directly addresses logical access control for local and network interfaces, including disabling unnecessary interfaces and restricting access to authorized entities, which is immediately applicable against Mirai."
iot-018|2,iot-018,Mirai,2,NIST.SP.800-213A-0129,supporting,supporting,"Discusses malicious code protection, updating protections, and awareness of malware/vulnerabilities. Useful general defense context, but not specifically tied to Mirai or its common ingress/propagation mechanisms."
iot-018|3,iot-018,Mirai,3,NIST.SP.800-213A-0048,direct,direct,"Contains the same directly applicable interface and management access restrictions as item 017, which are strong mitigations for Mirai infection and remote takeover."
iot-021|1,iot-021,Recon,1,NIST.SP.800-61r3-0055,direct,irrelevant,"This is general incident detection/continuous monitoring guidance for reconnaissance, not specific to Mirai and not an immediate control for Mirai mitigation."
iot-021|2,iot-021,Recon,2,NIST.SP.800-213-0058,supporting,irrelevant,"Provides high-level discussion of IoT threat sources and reconnaissance applicability, but does not give a Mirai-specific control or materially useful mitigation guidance."
iot-021|3,iot-021,Recon,3,NIST.SP.800-61r3-0056,direct,irrelevant,"General monitoring guidance about networks and physical environment; useful operationally, but not materially relevant to assessing or mitigating Mirai specifically."
iot-022|1,iot-022,Recon,1,NIST.SP.800-61r3-0055,direct,irrelevant,"Same as item 021|1: broad detection/monitoring guidance, not specific to Mirai or directly useful for this attack family."
iot-022|2,iot-022,Recon,2,NIST.SP.800-213-0058,supporting,irrelevant,General IoT threat-source discussion with no direct Mirai mitigation or exploit/control detail.
iot-022|3,iot-022,Recon,3,NIST.SP.800-61r3-0056,direct,irrelevant,General continuous monitoring guidance; not materially helpful for Mirai-focused assessment or mitigation.
iot-029|1,iot-029,Web,1,ETSI.EN.303.645.V3.1.3-0078,direct,irrelevant,"Concerns secure setup and manufacturer communications, but does not address web attacks or provide a direct control for the predicted family."
iot-029|2,iot-029,Web,2,ETSI.EN.303.645.V3.1.3-0079,direct,direct,"Directly recommends validating network/application-layer input, including unauthenticated network-accessible APIs, which is an immediate control for mitigating web application attacks."
iot-029|3,iot-029,Web,3,RFC8576-0030,irrelevant,irrelevant,Lists IoT standards and middleware; it does not address web attacks or relevant defenses.
iot-030|1,iot-030,Web,1,ETSI.EN.303.645.V3.1.3-0078,direct,irrelevant,Same secure-setup/manufacturer guidance as item 029|1; not directly applicable to web attack mitigation.
iot-030|2,iot-030,Web,2,ETSI.EN.303.645.V3.1.3-0079,direct,direct,"Directly addresses application-layer input validation over network interfaces, including APIs, which is an immediate mitigation for web attacks."
iot-030|3,iot-030,Web,3,RFC8576-0030,irrelevant,irrelevant,"Standards overview for IoT protocols and middleware, not useful for assessing or mitigating web attacks."
