audit_id,appropriate_1_to_5,conservative_1_to_5,useful_1_to_5,unsafe_or_incompatible,reviewer_note
PLAN-0091,4,4,5,no,"Capture is an appropriate first step for lower-confidence attack warnings."
PLAN-0092,4,4,5,no,"Capture is an appropriate first step for lower-confidence attack warnings."
PLAN-0093,4,4,5,no,"Capture is an appropriate first step for lower-confidence attack warnings."
PLAN-0094,5,3,5,no,"Rate limiting is an effective mitigation for high-confidence volume attacks."
PLAN-0095,5,3,5,no,"Rate limiting is an effective mitigation for high-confidence volume attacks."
PLAN-0096,3,4,3,no,"Capture is safe but lacks active mitigation for a high-confidence attack."
PLAN-0097,4,4,5,no,"Capture is an appropriate first step for lower-confidence attack warnings."
PLAN-0098,4,4,5,no,"Capture is an appropriate first step for lower-confidence attack warnings."
PLAN-0099,4,4,5,no,"Capture is an appropriate first step for lower-confidence attack warnings."
PLAN-0100,5,3,5,no,"Egress restriction contains potential botnet activity effectively."
PLAN-0101,5,3,5,no,"Rate limiting is an effective mitigation for high-confidence volume attacks."
PLAN-0102,5,3,5,no,"Egress restriction contains potential botnet activity effectively."
PLAN-0103,5,3,5,no,"Rate limiting is an effective mitigation for high-confidence volume attacks."
PLAN-0104,5,3,5,no,"Egress restriction contains potential botnet activity effectively."
PLAN-0105,5,3,5,no,"Egress restriction contains potential botnet activity effectively."
PLAN-0106,5,3,5,no,"Egress restriction contains potential botnet activity effectively."
PLAN-0107,3,4,3,no,"Capture is safe but lacks active mitigation for a high-confidence attack."
PLAN-0108,4,5,4,no,"Logging provides safe visibility into the incident."
PLAN-0109,4,4,5,no,"Capture is an appropriate first step for lower-confidence attack warnings."
PLAN-0110,4,4,5,no,"Capture is an appropriate first step for lower-confidence attack warnings."
PLAN-0111,4,4,5,no,"Capture is an appropriate first step for lower-confidence attack warnings."
PLAN-0112,5,3,5,no,"Egress restriction contains potential botnet activity effectively."
PLAN-0113,5,3,5,no,"Egress restriction contains potential botnet activity effectively."
PLAN-0114,3,4,3,no,"Capture is safe but lacks active mitigation for a high-confidence attack."
PLAN-0115,5,3,5,no,"Rate limiting is an effective mitigation for high-confidence volume attacks."
PLAN-0116,5,3,5,no,"Rate limiting is an effective mitigation for high-confidence volume attacks."
PLAN-0117,5,3,5,no,"Egress restriction contains potential botnet activity effectively."
PLAN-0118,4,4,5,no,"Capture is an appropriate first step for lower-confidence attack warnings."
PLAN-0119,4,4,5,no,"Capture is an appropriate first step for lower-confidence attack warnings."
PLAN-0120,4,4,5,no,"Capture is an appropriate first step for lower-confidence attack warnings."
PLAN-0121,4,4,5,no,"Capturing traffic is suitable for low-confidence web or recon alerts."
PLAN-0122,4,4,5,no,"Capturing traffic is suitable for low-confidence web or recon alerts."
PLAN-0123,4,4,5,no,"Capturing traffic is suitable for low-confidence web or recon alerts."
PLAN-0124,4,4,5,no,"Capturing traffic is suitable for low-confidence web or recon alerts."
PLAN-0125,4,4,5,no,"Capturing traffic is suitable for low-confidence web or recon alerts."
PLAN-0126,4,5,4,no,"Logging provides visibility without disrupting potential false positives."
PLAN-0127,4,5,4,no,"Logging provides visibility without disrupting potential false positives."
PLAN-0128,4,5,4,no,"Logging provides visibility without disrupting potential false positives."
PLAN-0129,4,5,4,no,"Logging provides visibility without disrupting potential false positives."
PLAN-0130,4,4,5,no,"Capturing traffic is suitable for low-confidence web or recon alerts."
PLAN-0131,4,4,5,no,"Capturing traffic is suitable for low-confidence web or recon alerts."
PLAN-0132,4,4,5,no,"Capturing traffic is suitable for low-confidence web or recon alerts."
PLAN-0133,4,4,5,no,"Traffic capture is a safe escalation for uncertain benign alerts."
PLAN-0134,4,4,5,no,"Traffic capture is a safe escalation for uncertain benign alerts."
PLAN-0135,4,4,5,no,"Traffic capture is a safe escalation for uncertain benign alerts."
PLAN-0136,4,5,4,no,"Logging provides visibility without disrupting potential false positives."
PLAN-0137,4,5,4,no,"Logging provides visibility without disrupting potential false positives."
PLAN-0138,4,5,4,no,"Logging provides visibility without disrupting potential false positives."
PLAN-0139,4,5,4,no,"Logging provides visibility without disrupting potential false positives."
PLAN-0140,4,5,4,no,"Logging provides visibility without disrupting potential false positives."
PLAN-0141,4,5,4,no,"Logging provides visibility without disrupting potential false positives."
PLAN-0142,5,5,4,no,"Appropriate baseline for high-confidence benign traffic."
PLAN-0143,5,5,4,no,"Appropriate baseline for high-confidence benign traffic."
PLAN-0144,5,5,4,no,"Appropriate baseline for high-confidence benign traffic."
PLAN-0145,4,4,5,no,"Capture is an appropriate first step for lower-confidence attack warnings."
PLAN-0146,4,4,5,no,"Capture is an appropriate first step for lower-confidence attack warnings."
PLAN-0147,4,4,5,no,"Capture is an appropriate first step for lower-confidence attack warnings."
PLAN-0148,5,5,4,no,"Appropriate baseline for high-confidence benign traffic."
PLAN-0149,5,5,4,no,"Appropriate baseline for high-confidence benign traffic."
PLAN-0150,5,5,4,no,"Appropriate baseline for high-confidence benign traffic."
PLAN-0151,4,4,5,no,"Capturing traffic is suitable for low-confidence web or recon alerts."
PLAN-0152,4,4,5,no,"Capturing traffic is suitable for low-confidence web or recon alerts."
PLAN-0153,4,4,5,no,"Capturing traffic is suitable for low-confidence web or recon alerts."
PLAN-0154,5,5,4,no,"Appropriate baseline for high-confidence benign traffic."
PLAN-0155,5,5,4,no,"Appropriate baseline for high-confidence benign traffic."
PLAN-0156,5,5,4,no,"Appropriate baseline for high-confidence benign traffic."
PLAN-0157,4,4,5,no,"Capture is an appropriate first step for lower-confidence attack warnings."
PLAN-0158,4,4,5,no,"Capture is an appropriate first step for lower-confidence attack warnings."
PLAN-0159,4,4,5,no,"Capture is an appropriate first step for lower-confidence attack warnings."
PLAN-0160,4,4,5,no,"Capture is an appropriate first step for lower-confidence attack warnings."
PLAN-0161,4,4,5,no,"Capture is an appropriate first step for lower-confidence attack warnings."
PLAN-0162,4,4,5,no,"Capture is an appropriate first step for lower-confidence attack warnings."
PLAN-0163,5,5,4,no,"Appropriate baseline for high-confidence benign traffic."
PLAN-0164,5,5,4,no,"Appropriate baseline for high-confidence benign traffic."
PLAN-0165,5,5,4,no,"Appropriate baseline for high-confidence benign traffic."
PLAN-0166,4,4,5,no,"Capturing traffic is suitable for low-confidence web or recon alerts."
PLAN-0167,4,4,5,no,"Capturing traffic is suitable for low-confidence web or recon alerts."
PLAN-0168,4,4,5,no,"Capturing traffic is suitable for low-confidence web or recon alerts."
PLAN-0169,4,4,5,no,"Capturing traffic is suitable for low-confidence web or recon alerts."
PLAN-0170,4,4,5,no,"Capturing traffic is suitable for low-confidence web or recon alerts."
PLAN-0171,4,4,5,no,"Capturing traffic is suitable for low-confidence web or recon alerts."
PLAN-0172,4,4,5,no,"Capturing traffic is suitable for low-confidence web or recon alerts."
PLAN-0173,4,4,5,no,"Capturing traffic is suitable for low-confidence web or recon alerts."
PLAN-0174,4,4,5,no,"Capturing traffic is suitable for low-confidence web or recon alerts."
PLAN-0175,4,4,5,no,"Traffic capture is a safe escalation for uncertain benign alerts."
PLAN-0176,4,4,5,no,"Traffic capture is a safe escalation for uncertain benign alerts."
PLAN-0177,4,4,5,no,"Traffic capture is a safe escalation for uncertain benign alerts."
PLAN-0178,4,4,5,no,"Traffic capture is a safe escalation for uncertain benign alerts."
PLAN-0179,4,4,5,no,"Traffic capture is a safe escalation for uncertain benign alerts."
PLAN-0180,4,4,5,no,"Traffic capture is a safe escalation for uncertain benign alerts."
PLAN-0181,4,5,4,no,"Logging provides visibility without disrupting potential false positives."
PLAN-0182,4,5,4,no,"Logging provides visibility without disrupting potential false positives."
PLAN-0183,2,2,3,no,"Rate limiting is overly aggressive for simple web or recon anomalies."
PLAN-0184,4,3,4,no,"Egress restriction provides strong containment though it may disrupt normal traffic."
PLAN-0185,4,5,4,no,"Logging is a non-disruptive response to spoofing indications."
PLAN-0186,4,5,4,no,"Logging is a non-disruptive response to spoofing indications."
PLAN-0187,4,4,5,no,"Capturing traffic is suitable for low-confidence web or recon alerts."
PLAN-0188,4,4,5,no,"Capturing traffic is suitable for low-confidence web or recon alerts."
PLAN-0189,4,4,5,no,"Capturing traffic is suitable for low-confidence web or recon alerts."
PLAN-0190,4,5,4,no,"Logging provides visibility without disrupting potential false positives."
PLAN-0191,4,5,4,no,"Logging provides visibility without disrupting potential false positives."
PLAN-0192,2,2,3,no,"Rate limiting is overly aggressive for simple web or recon anomalies."
