audit_id,support_label_direct_general_unsupported,action_appropriate_yes_no_unclear,reviewer_note
EVID-0109,general,yes,"Operator notification is appropriate for this alert and aligns with general security guidance."
EVID-0051,general,yes,"Operator notification is appropriate for this alert and aligns with general security guidance."
EVID-0095,general,yes,"Operator notification is appropriate for this alert and aligns with general security guidance."
EVID-0006,general,yes,"Operator notification is appropriate for this alert and aligns with general security guidance."
EVID-0098,unsupported,no,"Notifying operators for benign traffic is inappropriate and unsupported by the citations."
EVID-0053,general,unclear,"Capturing traffic for benign events is of unclear value and only generally supported."
EVID-0119,general,yes,"Capturing traffic aids investigation and is generally supported by incident response standards."
EVID-0067,unsupported,no,"Notifying operators for benign traffic is inappropriate and unsupported by the citations."
EVID-0084,general,yes,"Monitoring and logging are safe actions well-supported by general continuous monitoring standards."
EVID-0106,general,yes,"Operator notification is appropriate for this alert and aligns with general security guidance."
EVID-0122,general,yes,"Operator notification is appropriate for this alert and aligns with general security guidance."
EVID-0121,general,yes,"Monitoring and logging are safe actions well-supported by general continuous monitoring standards."
EVID-0027,general,unclear,"Capturing traffic for benign events is of unclear value and only generally supported."
EVID-0124,general,yes,"Monitoring and logging are safe actions well-supported by general continuous monitoring standards."
EVID-0011,general,yes,"Operator notification is appropriate for this alert and aligns with general security guidance."
EVID-0117,general,yes,"Capturing traffic aids investigation and is generally supported by incident response standards."
EVID-0082,general,yes,"Monitoring and logging are safe actions well-supported by general continuous monitoring standards."
EVID-0102,general,yes,"Capturing traffic aids investigation and is generally supported by incident response standards."
EVID-0004,general,yes,"Monitoring and logging are safe actions well-supported by general continuous monitoring standards."
EVID-0120,general,yes,"Operator notification is appropriate for this alert and aligns with general security guidance."
EVID-0008,general,yes,"Monitoring and logging are safe actions well-supported by general continuous monitoring standards."
EVID-0090,general,yes,"Capturing traffic aids investigation and is generally supported by incident response standards."
EVID-0009,general,yes,"Capturing traffic aids investigation and is generally supported by incident response standards."
EVID-0089,general,yes,"Monitoring and logging are safe actions well-supported by general continuous monitoring standards."
EVID-0091,general,yes,"Operator notification is appropriate for this alert and aligns with general security guidance."
EVID-0111,general,no,"Aggressive blocking or limiting is unsuitable for this traffic type."
EVID-0050,general,yes,"Capturing traffic aids investigation and is generally supported by incident response standards."
EVID-0100,general,yes,"Monitoring and logging are safe actions well-supported by general continuous monitoring standards."
EVID-0080,general,yes,"Capturing traffic aids investigation and is generally supported by incident response standards."
EVID-0069,general,yes,"Operator notification is appropriate for this alert and aligns with general security guidance."
EVID-0060,general,yes,"Capturing traffic aids investigation and is generally supported by incident response standards."
EVID-0019,general,yes,"Capturing traffic aids investigation and is generally supported by incident response standards."
EVID-0076,general,yes,"Monitoring and logging are safe actions well-supported by general continuous monitoring standards."
EVID-0042,general,yes,"Capturing traffic aids investigation and is generally supported by incident response standards."
EVID-0110,general,yes,"Operator notification is appropriate for this alert and aligns with general security guidance."
EVID-0079,general,yes,"Capturing traffic aids investigation and is generally supported by incident response standards."
EVID-0061,general,unclear,"Capturing traffic for benign events is of unclear value and only generally supported."
EVID-0015,general,yes,"Operator notification is appropriate for this alert and aligns with general security guidance."
EVID-0055,general,yes,"Monitoring and logging are safe actions well-supported by general continuous monitoring standards."
EVID-0045,general,yes,"Operator notification is appropriate for this alert and aligns with general security guidance."
EVID-0063,general,yes,"The action is suitable for the threat and loosely supported by network defense principles."
EVID-0099,general,yes,"The action is suitable for the threat and loosely supported by network defense principles."
EVID-0014,general,yes,"Operator notification is appropriate for this alert and aligns with general security guidance."
EVID-0023,general,yes,"Capturing traffic aids investigation and is generally supported by incident response standards."
EVID-0043,general,yes,"Monitoring and logging are safe actions well-supported by general continuous monitoring standards."
EVID-0093,general,yes,"Monitoring and logging are safe actions well-supported by general continuous monitoring standards."
EVID-0054,general,yes,"Monitoring and logging are safe actions well-supported by general continuous monitoring standards."
EVID-0035,general,yes,"The action is suitable for the threat and loosely supported by network defense principles."
EVID-0092,general,yes,"Capturing traffic aids investigation and is generally supported by incident response standards."
EVID-0024,general,yes,"Capturing traffic aids investigation and is generally supported by incident response standards."
EVID-0085,general,yes,"Monitoring and logging are safe actions well-supported by general continuous monitoring standards."
EVID-0034,general,yes,"Monitoring and logging are safe actions well-supported by general continuous monitoring standards."
EVID-0039,general,yes,"Monitoring and logging are safe actions well-supported by general continuous monitoring standards."
EVID-0072,general,yes,"Monitoring and logging are safe actions well-supported by general continuous monitoring standards."
EVID-0126,general,yes,"Capturing traffic aids investigation and is generally supported by incident response standards."
EVID-0118,general,yes,"Monitoring and logging are safe actions well-supported by general continuous monitoring standards."
EVID-0036,general,yes,"Monitoring and logging are safe actions well-supported by general continuous monitoring standards."
EVID-0058,general,yes,"Operator notification is appropriate for this alert and aligns with general security guidance."
EVID-0115,general,yes,"Capturing traffic aids investigation and is generally supported by incident response standards."
EVID-0020,general,yes,"The action is suitable for the threat and loosely supported by network defense principles."
